Screen,Stated Claim,Coverage Adequacy (1-4),Pedagogical Soundness (1-4),Cultural Authenticity (1-4),Comments
Lessons,Teaches curriculum across 7 thematic units,,,,
Quiz,Tests Awadhi knowledge with 4-option MCQs,,,,
Voice Practice,Lets learners practice pronunciation with feedback,,,,
Repository,Searchable Awadhi-Hindi-English vocabulary,,,,
Stories,Cultural folk stories with audio + vocabulary spotlight,,,,
Dashboard,"Tracks XP, streak, daily learning goal",,,,
Profile,"Shows learner progress, level, achievements",,,,
